รหัสทัวร์,จำนวนลูกค้า หัก หนท.,ยอดเบิก
G8KMG4NKMGMU250221,24,1200
G8KMG4NKMGMU250227,24,1200
G8KMG4NKMGMU250228,24,1200
G8KMG4NKMGMU250320,23,1150
G8KMG5NKMGMU250314,11,550
G8MFM4NXMNNX250226-2,16,800
G8MFM5NXMNNX250415-3,12,600
G8NNG3NNNGGX250105,17,850
G8NNG3NNNGGX250302,19,950
G8NNG3NNNGGX250316,20,1000
G8NNG3NNNGGX250327,19,950
G8PEK3NPEKCA250314,23,1150
G8PEK3NPEKCA250321,14,700
G8PEK3NPEKHU250206,8,400
G8PEK3NPEKHU250222,20,1000
G8SYX3NSYXSL250101,3,150
G8TFU3NTFUFD250131,16,800
G8TFU3NTFUFD250206,19,950
G8TFU3NTFUFD250214,18,900
G8TFU3NTFUFD250219,19,950
G8TFU3NTFUFD250221,19,950
G8TFU3NTFUFD250226,18,900
G8TFU3NTFUFD250227,11,550
G8TFU3NTFUFD250228,18,900
G8TFU3NTFUFD250305,17,850
G8TFU3NTFUFD250307,16,800
G8TFU3NTFUFD250312,17,850
G8TFU3NTFUFD250314,14,700
G8TFU3NTFUFD250319,12,600
G8TFU3NTFUFD250321,9,450
G8TFU3NTFUFD250327,18,900
G8TFU3NTFUFD250410,20,1000
G8TFU3NTFUFD250411,20,1000
G8TFU3NTFUFD250411A,17,850
G8TFU3NTFUFD250412,20,1000
G8TFU3NTFUFD250412A,17,850
G8TFU3NTFUFD250413,11,550
G8TFU3NTFUFD250413ATR,19,950
G8TFU3NTFUFD250419,19,950
G8TFU3NTFUSL250622,23,1150
G8TFU3NTFUSL250627,24,1200
G8TFU4NTFUSL250403,22,1100
G8TFU4NTFUSL250406,18,900
G8TFU4NTFUSL250415,18,900
G8TFU4NTFUSL250415A,14,700
G8TFU4NTFUSL250616-1,15,750
G8TFU4NTFUSL250623,23,1150
G8TFU4NTFUSL250826,14,700
G8TFU4NTFUSL250909,20,1000
G8TFU4NTFUSL250916,7,350
G8TFU4NTFUSL250923,18,900
G8TFU4NTFUVZ250518,24,1200
G8TFU4NTFUVZ250520,23,1150
G8TFU4NTFUVZ250521,23,1150
G8TFU4NTFUVZ250522,24,1200
G8TFU4NTFUVZ250524,24,1200
G8TFU4NTFUVZ250525,24,1200
G8TFU4NTFUVZ250526,23,1150
G8TFU4NTFUVZ250527,23,1150
G8TFU4NTFUVZ250528,24,1200
G8TFU4NTFUVZ250529,24,1200
G8TFU4NTFUVZ250601,23,1150
G8TFU4NTFUVZ250602,24,1200
G8TFU4NTFUVZ250603,24,1200
G8TFU4NTFUVZ250604,24,1200
G8TFU4NTFUVZ250605,19,950
G8TFU4NTFUVZ250606,19,950
G8TFU4NTFUVZ250608,23,1150
G8TFU4NTFUVZ250610,24,1200
G8TFU4NTFUVZ250615,24,1200
G8TFU4NTFUVZ250617,23,1150
G8TFU4NTFUVZ250622,24,1200
G8TFU4NTFUVZ250624,23,1150
G8TFU4NTFUVZ250629,23,1150
G8TFU4NTFUVZ250708,23,1150
G8TFU4NTFUVZ250710,26,1300
GO1AKU6NKHGUQ251228,13,650
GO1CGO5NCGODD250322TK,28,1400
GO1CGO5NXIYSL250914,19,950
GO1CGO5NXIYSL250921,19,950
GO1CGO5NXIYSL251012,18,900
GO1CGO5NXIYSL251017,17,850
GO1CGO5NXIYSL251203,12,600
GO1CGO5NXIYSL251205,15,750
GO1CGO5NXIYSL251217,13,650
GO1CGO5NXIYSL251228,15,750
GO1CKG1NTFUFD251121TK,23,1150
GO1CKG3NCKGFD250208,11,550
GO1CKG3NCKGFD250215,17,850
GO1CKG3NCKGFD250313,18,900
GO1CKG3NCKGFD250320,19,950
GO1CKG3NCKGFD250412A,29,1450
GO1CKG3NCKGFD250412B,29,1450
GO1CKG3NCKGFD250413B,1,50
GO1CKG3NCKGFD250413TR,25,1250
GO1CKG3NCKGFD250419,18,900
GO1CKG3NCKGFD250426,19,950
GO1CKG3NCKGFD250510,19,950
GO1CKG3NCKGFD250531,29,1450
GO1CKG3NCKGFD250917FT,9,450
GO1CKG3NCKGFD251011A,29,1450
GO1CKG3NCKGFD251011B,29,1450
GO1CKG3NCKGFD251018A,29,1450
GO1CKG3NCKGFD251018B,26,1300
GO1CKG3NCKGFD251023A,30,1500
GO1CKG3NCKGFD251025TR,29,1450
GO1CKG3NCKGFD251030A,19,950
GO1CKG3NCKGFD251113A,19,950
GO1CKG3NCKGFD251120ATR,19,950
GO1CKG3NCKGFD251127A,19,950
GO1CKG3NCKGFD251204A,19,950
GO1CKG3NCKGFD251205ATR,29,1450
GO1CKG3NCKGFD251207A,19,950
GO1CKG3NCKGFD251213,19,950
GO1CKG3NCKGFD251230A,29,1450
GO1CKG3NCKGFD251231,27,1350
GO1CKG4NCKGG5250324,18,900
GO1CKG4NCKGG5250402,18,900
GO1CKG4NCKGG5250407,17,850
GO1CKG4NCKGG5250416,19,950
GO1CKG4NCKGG5250421,17,850
GO1CKG4NCKGG5250430,19,950
GO1CKG4NCKGG5250514,18,900
GO1CKG4NCKGG5250519,19,950
GO1CKG4NCKGG5250528,19,950
GO1CKG4NCKGG5250602TR,19,950
GO1CKG4NCKGG5250611,19,950
GO1CKG4NCKGG5250616,21,1050
GO1CKG4NTFUFD250116,17,850
GO1CKG4NTFUFD250211,29,1450
GO1CKG4NTFUFD250211A,24,1200
GO1CKG4NTFUFD250218,18,900
GO1CKG4NTFUFD250220,22,1100
GO1CKG4NTFUFD250225,18,900
GO1CKG4NTFUFD250304,24,1200
GO1CKG4NTFUFD250311A,19,950
GO1CKG4NTFUFD250318,19,950
GO1CKG4NTFUFD250401A,29,1450
GO1CKG4NTFUFD250422,19,950
GO1CKG4NTFUFD250501,21,1050
GO1CKG4NTFUFD250508,29,1450
GO1CKG4NTFUFD250520,19,950
GO1CKG4NTFUFD250529,19,950
GO1CKG4NTFUFD251009,28,1400
GO1CKG4NTFUFD251014,19,950
GO1CKG4NTFUFD251018,19,950
GO1CKG4NTFUFD251028,19,950
GO1CKG4NTFUFD251104A,19,950
GO1CKG4NTFUFD251104BTR,42,2100
GO1CKG4NTFUFD251111,20,1000
GO1CKG4NTFUFD251118,19,950
GO1CKG4NTFUFD251125,19,950
GO1CKG4NTFUFD251202A,19,950
GO1CKG4NTFUFD251202B,18,900
GO1CKG4NTFUFD251209A1,9,450
GO1CKG4NTFUFD251213,16,800
GO1CKG4NTFUFD251216,19,950
GO1CKG4NTFUFD251223TR,22,1100
GO1CKG4NTFUFD251230,28,1400
GO1CKG4NTFUFD251230A,20,1000
GO1CKG4NTFUFD260101,13,650
GO1CKG5NTFUFD250220,15,750
GO1CKG5NTFUFD250227,19,950
GO1CKG5NTFUFD250306,19,950
GO1CKG5NTFUFD250313,18,900
GO1CKG5NTFUFD250320,19,950
GO1CKG5NTFUFD250403,30,1500
GO1CKG5NTFUFD250410A,19,950
